"id","ano","lei_id","situacao","titulo","capitulo","secao","sub_secao","artigo","sub_artigo","paragrafo","inciso","alinea","texto"
1,1988,1,"Vigente",1,0,0,0,1,0,0,0,0,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:"
2,1988,1,"Vigente",1,0,0,0,1,0,0,1,0,"I - a soberania;"
3,1988,1,"Vigente",1,0,0,0,1,0,0,2,0,"II - a cidadania;"
4,1988,1,"Vigente",1,0,0,0,1,0,0,3,0,"III - a dignidade da pessoa humana;"
5,1988,1,"Vigente",1,0,0,0,1,0,0,4,0,"IV - os valores sociais do trabalho e da livre iniciativa;"
6,1988,1,"Vigente",1,0,0,0,1,0,0,5,0,"V - o pluralismo político."
7,1988,1,"Vigente",1,0,0,0,1,0,1,0,0,"Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição."
8,1988,1,"Vigente",1,0,0,0,2,0,0,0,0,"Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário."
9,1988,1,"Vigente",1,0,0,0,3,0,0,0,0,"Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:"
10,1988,1,"Vigente",1,0,0,0,3,0,0,1,0,"I - construir uma sociedade livre, justa e solidária;"
11,1988,1,"Vigente",1,0,0,0,3,0,0,2,0,"II - garantir o desenvolvimento nacional;"
12,1988,1,"Vigente",1,0,0,0,3,0,0,3,0,"III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;"
13,1988,1,"Vigente",1,0,0,0,3,0,0,4,0,"IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação."
14,1988,1,"Vigente",1,0,0,0,4,0,0,0,0,"Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:"
15,1988,1,"Vigente",1,0,0,0,4,0,0,1,0,"I - independência nacional;"
16,1988,1,"Vigente",1,0,0,0,4,0,0,2,0,"II - prevalência dos direitos humanos;"
17,1988,1,"Vigente",1,0,0,0,4,0,0,3,0,"III - autodeterminação dos povos;"
18,1988,1,"Vigente",1,0,0,0,4,0,0,4,0,"IV - não-intervenção;"
19,1988,1,"Vigente",1,0,0,0,4,0,0,5,0,"V - igualdade entre os Estados;"
20,1988,1,"Vigente",1,0,0,0,4,0,0,6,0,"VI - defesa da paz;"
21,1988,1,"Vigente",1,0,0,0,4,0,0,7,0,"VII - solução pacífica dos conflitos;"
22,1988,1,"Vigente",1,0,0,0,4,0,0,8,0,"VIII - repúdio ao terrorismo e ao racismo;"
